date,pm25,o3,no2,so2,co
2020-11-15,34.0,32.0,11.0,1.0,2.0
2020-11-14,29.0,16.0,13.0,1.0,2.0
2020-11-13,16.0,11.0,11.0,1.0,1.0
2020-11-12,13.0,17.0,12.0,1.0,1.0
2020-11-11,58.0,21.0,8.0,1.0,1.0
2020-11-10,82.0,26.0,21.0,1.0,3.0
2020-11-09,65.0,12.0,32.0,1.0,8.0
2020-11-08,56.0,34.0,23.0,1.0,4.0
2020-11-07,35.0,34.0,18.0,1.0,2.0
2020-11-06,33.0,31.0,13.0,1.0,1.0
2020-11-05,37.0,28.0,12.0,1.0,1.0
2020-11-04,31.0,23.0,17.0,1.0,2.0
2020-11-03,20.0,20.0,12.0,1.0,1.0
2020-11-02,44.0,22.0,8.0,1.0,1.0
2020-11-01,50.0,17.0,19.0,1.0,4.0
2020-10-31,26.0,16.0,22.0,1.0,5.0
2020-10-30,28.0,19.0,14.0,1.0,2.0
2020-10-29,21.0,19.0,14.0,1.0,2.0
2020-10-28,30.0,12.0,13.0,1.0,2.0
2020-10-27,34.0,16.0,12.0,1.0,1.0
2020-10-26,32.0,21.0,7.0,1.0,1.0
2020-10-25,33.0,20.0,5.0,1.0,1.0
2020-10-24,34.0,21.0,7.0,1.0,1.0
2020-10-23,31.0,20.0,6.0,1.0,1.0
2020-10-22,26.0,16.0,10.0,1.0,2.0
2020-10-21,41.0,15.0,12.0,1.0,2.0
2020-10-20,48.0,18.0,16.0,1.0,2.0
2020-10-19,53.0,21.0,17.0,1.0,4.0
2020-10-18,36.0,25.0,13.0,1.0,4.0
2020-10-17,32.0,21.0,10.0,1.0,2.0
2020-10-16,48.0,24.0,14.0,1.0,1.0
2020-10-15,36.0,38.0,13.0,1.0,2.0
2020-10-14,27.0,24.0,13.0,1.0,2.0
2020-10-13,27.0,17.0,7.0,1.0,1.0
2020-10-12,30.0,21.0,3.0,1.0,1.0
2020-10-11,47.0,22.0,3.0,1.0,1.0
2020-10-10,35.0,33.0,6.0,1.0,1.0
2020-10-09,25.0,21.0,11.0,1.0,1.0
2020-10-08,38.0,20.0,7.0,1.0,1.0
2020-10-07,42.0,33.0,10.0,1.0,1.0
2020-10-06,40.0,28.0,13.0,1.0,1.0
2020-10-05,35.0,19.0,7.0,1.0,1.0
2020-10-04,43.0,25.0,8.0,1.0,1.0
2020-10-03,51.0,24.0,11.0,1.0,2.0
2020-10-02,45.0,18.0,16.0,1.0,2.0
2020-10-01,26.0,28.0,10.0,1.0,1.0
2020-09-30,37.0,26.0,6.0,1.0,1.0
2020-09-29,29.0,23.0,8.0,1.0,1.0
2020-09-28,32.0,20.0,8.0,1.0,1.0
2020-09-27,68.0,27.0,5.0,1.0,1.0
2020-09-26,61.0,39.0,8.0,1.0,2.0
2020-09-25,57.0,24.0,14.0,1.0,3.0
2020-09-24,45.0,30.0,14.0,1.0,2.0
2020-09-23,36.0,31.0,13.0,1.0,2.0
2020-09-22,35.0,26.0,14.0,1.0,1.0
