date, pm25, o3, no2, so2, co
2021/1/2, 40, 24, 9, , 1
2021/1/3, 20, 20, 16, , 2
2021/1/4, 38, 19, 12, , 2
2020/7/2, 40, 31, 9, 1, 2
2020/7/3, 39, 27, 4, 1, 1
2020/7/4, 38, 25, 3, 1, 1
2020/7/5, 37, 30, 6, 1, 2
2020/7/6, 73, 21, 5, 1, 1
2020/7/7, 21, 27, 4, 1, 1
2020/7/8, 25, 28, 3, , 2
2020/7/9, 32, 40, 7, 1, 2
2020/7/10, 50, 17, 4, 1, 
2020/7/11, 29, 26, 2, 1, 1
2020/7/12, 23, 32, 2, 1, 1
2020/7/13, 21, 29, 8, , 2
2020/7/14, 28, , 7, , 1
2020/7/15, 32, 14, 2, 1, 1
2020/7/16, 18, 19, 5, 1, 1
2020/7/17, 22, 17, 8, 1, 1
2020/7/18, 24, 36, 7, 1, 1
2020/7/19, 25, , 5, , 2
2020/7/20, 41, 38, 8, 1, 2
2020/7/21, 41, 30, 11, 1, 1
2020/7/22, 36, 22, 9, 1, 1
2020/7/23, 32, 32, 12, 1, 2
2020/7/25, 42, 38, 12, 1, 2
2020/7/26, 46, 37, 4, 1, 1
2020/7/27, 43, 48, 9, 1, 1
2020/7/28, 41, 40, 9, 1, 1
2020/7/29, 44, 39, 9, 1, 1
2020/7/30, 44, 42, 10, 1, 1
2020/7/31, 41, 24, 10, 1, 1
2020/8/1, 42, 35, 9, 1, 2
2020/8/2, 48, 30, 4, 1, 1
2020/8/3, 43, 36, 8, 1, 1
2020/8/4, 43, 28, 8, 1, 1
2020/8/5, 47, 42, 8, 1, 1
2020/8/6, 41, 37, 12, 1, 1
2020/8/7, 45, 25, 13, 1, 1
2020/8/8, 46, 34, 8, 1, 1
2020/8/9, 42, 37, 3, 1, 1
2020/8/10, 41, 44, 9, 1, 2
2020/8/11, 50, 53, 9, 1, 2
2020/8/12, 59, 37, 11, 1, 1
2020/8/13, 48, 31, 10, 1, 2
2020/8/14, 46, 24, 9, 1, 2
2020/8/15, 54, 17, 3, 1, 1
2020/8/16, 50, 17, 3, 1, 1
2020/8/17, 41, 23, 4, 1, 1
2020/8/18, 31, 31, 9, 1, 1
2020/8/19, 33, 22, 13, 1, 2
2020/8/20, 43, 22, 10, 1, 1
2020/8/21, 37, 51, 10, 1, 2
2020/8/22, 51, 39, 11, 1, 3
2020/8/23, 50, 38, 8, 1, 2
2020/8/24, 48, 38, 11, 1, 2
2020/8/25, 45, 36, 9, 1, 1
2020/8/26, 46, 25, 9, 1, 1
2020/8/27, 28, 14, 14, 1, 2
2020/8/28, 38, 23, 12, 1, 3
2020/8/29, 40, 23, 6, 1, 2
2020/8/30, 40, 22, 4, 1, 1
2020/8/31, 24, 23, 8, 1, 1
2020/9/1, 38, 20, 6, 1, 1
2020/9/2, 32, 16, 7, , 1
2020/9/3, 28, 16, 11, , 2
2020/9/4, 36, 30, 11, , 1
2020/9/5, 36, 26, 8, , 1
2020/9/6, 34, 34, 7, , 2
2020/9/7, 48, 28, 5, , 1
2020/9/8, 39, 32, 9, , 1
2020/9/9, 41, 28, 9, , 1
2020/9/10, 47, 13, 7, , 1
2020/9/11, 33, 14, 6, , 1
2020/9/12, 24, 18, 4, , 1
2020/9/13, 31, 24, 6, , 1
2020/9/14, 37, 22, 8, , 
2020/9/15, 28, 18, 11, , 1
2020/9/16, 33, 25, 9, , 1
2020/9/17, 35, 33, 11, , 1
2020/9/18, 36, 20, 6, , 1
2020/9/19, 35, 22, 7, , 1
2020/9/20, 31, 21, 5, 1, 1
2020/9/21, 34, 19, 12, , 1
2020/9/22, 35, 26, 14, , 1
2020/9/23, 36, 31, 13, , 2
2020/9/24, 45, 30, 14, , 2
2020/9/25, 57, 24, 14, , 3
2020/9/26, 61, 39, 8, , 2
2020/9/27, 68, 27, 5, , 1
2020/9/28, 32, 20, 8, , 1
2020/9/29, 29, 23, 8, , 1
2020/9/30, 37, 26, 6, , 1
2020/10/1, 26, 28, 10, , 1
2020/4/2, 30, 23, 9, 1, 1
2020/4/3, 14, 28, 7, 1, 1
2020/4/4, 13, 26, 2, 1, 1
2020/4/5, 14, 25, 5, 1, 1
2020/4/6, 21, 31, 7, 1, 1
2020/4/7, 19, 33, 13, 1, 1
2020/4/8, 24, 25, 13, 1, 1
2020/4/9, 30, 28, 10, 1, 1
2020/4/10, 23, 26, 7, 1, 1
2020/4/11, 14, 28, 4, 1, 1
2020/4/12, 16, 37, 8, 1, 1
2020/4/13, 31, 34, 4, 1, 1
2020/4/14, 28, 34, 8, 1, 1
2020/4/15, 25, 35, 12, 1, 1
2020/4/16, 25, 32, 11, 1, 1
2020/4/17, 29, 36, 8, 1, 1
2020/4/18, 29, 33, 9, 1, 1
2020/4/19, 26, 44, 7, 1, 1
2020/4/20, 39, 30, 10, 1, 1
2020/4/21, 24, 36, 13, 1, 1
2020/4/22, 30, 35, 6, 1, 1
2020/4/23, 23, 39, 11, 1, 1
2020/4/24, 30, 32, 15, 1, 2
2020/4/25, 44, 37, 13, 1, 3
2020/4/26, 46, 33, 6, 1, 1
2020/4/27, 34, 32, 3, 1, 
2020/4/28, 16, 32, 7, 1, 1
2020/4/29, 25, 29, 9, 1, 1
2020/4/30, 31, 26, 4, 1, 1
2020/5/1, 34, 29, 13, 1, 3
2020/5/2, 29, 34, 8, 1, 2
2020/5/3, 29, 42, 7, 1, 2
2020/5/4, 38, 32, 8, 1, 1
2020/5/5, 23, 26, 5, 1, 1
2020/5/6, 22, 29, 7, 1, 1
2020/5/7, 24, 34, 12, 1, 1
2020/5/8, 25, 32, 8, 1, 2
2020/5/9, 24, 26, 4, 1, 2
2020/5/10, 20, 34, 7, 1, 2
2020/5/11, 26, 35, 11, 1, 2
2020/5/12, 38, 29, 6, 1, 2
2020/5/13, 24, 29, 9, 1, 2
2020/5/14, 26, 41, 12, 1, 3
